Inches,milliVolts,mV error
3.15,5.32,0.14
3.2,5.42,0.15
3.25,5.81,0.1
3.3,5.95,0.13
3.35,6.1,0.17
3.4,6.1,0.2
3.45,6.32,0.22
3.5,7.4,0.25
3.55,7.86,0.24
3.6,8.61,0.21
3.65,9.33,0.26
3.7,9.65,0.2
3.75,10.9,0.3
3.8,12,0.3
3.85,12.6,0.5
3.9,13.9,0.4
3.95,14.8,0.4
4,17.5,0.8
4.05,19.7,1
4.1,21,1.2
4.15,23.4,1
4.2,26,1
4.25,29.1,1.5
4.3,31.3,1.1
4.35,34.4,1.8
4.4,39.4,1
4.45,50.7,1.5
4.5,61.9,1.9
4.55,69.2,1.6
4.6,82.6,2.5
4.65,83.8,1.9
4.7,88.2,2.2
4.75,86.7,2
4.8,80.1,2.3
4.85,76.3,2.5
4.9,79,4
4.95,90.4,5
5,113,5
5.05,120,4
5.1,101,3
5.15,84.1,2
5.2,71,3
5.25,73.2,2.5
5.3,74.1,2.9
5.35,65.5,1.5
5.4,60,4
5.45,60.8,1.5
5.5,80,5.5
5.55,100,3.3
5.6,117,5.5
5.65,115,10.5
5.7,110,5.3
5.75,107,5.8
5.8,107,5.5
5.85,106,5.5
5.9,109,5.5
5.95,85.1,2.3
6,82.4,2
6.05,79.8,5
6.1,90.1,5.5
6.15,73.5,2
6.2,69.6,2.5
6.25,66.5,3
6.3,59.1,3.5
6.35,52.2,2
6.4,55.1,3.5
6.45,53.3,2.5
6.5,48.1,2
6.55,43.1,3
6.6,40.1,5.5
6.65,35.1,5.3
6.7,35.1,5
6.75,27.7,5
6.8,23.4,4.3
6.85,23.1,2
6.9,19.1,3
6.95,16.5,2.5
7,14.8,1
7.05,12.5,2
7.1,10.3,0.5
7.15,8.53,1
7.2,8.03,1
7.25,6.63,0.15
